Candidate,Township,Ward,District,Party Endorsed?,Position Number,Number of Candidates,Slogan
Keshia M. SESSOMS,Bloomfield,1,2,FALSE,1,4,
Kathleen DeMARINO,Bloomfield,1,2,TRUE,2,4,
Robert DeMARINO,Bloomfield,1,2,TRUE,3,4,
Dorian K. SESSOMS,Bloomfield,1,2,FALSE,4,4,
Alyssa D'ANTONIO,Bloomfield,1,3,TRUE,1,4,
Ann HARDY,Bloomfield,1,3,FALSE,2,4,
Carlos M. POMARES,Bloomfield,1,3,TRUE,3,4,
Andrzej MATUSIK,Bloomfield,1,3,FALSE,4,4,
Pina GENCARELLI-PAGLIUCA,Bloomfield,1,7,TRUE,1,4,
Henry PAGLIUCA,Bloomfield,1,7,TRUE,2,4,
Hubert ESPIRITU,Bloomfield,1,7,FALSE,3,4,
Joshua A. NIEVE-SILVA,Bloomfield,1,7,FALSE,4,4,
Kevin HOO,Bloomfield,1,8,TRUE,1,4,
Heriberto GONZALEZ,Bloomfield,1,8,TRUE,2,4,
Katherine L. ALSHESKIE,Bloomfield,1,8,FALSE,3,4,
Andrew J. ALSHESKIE,Bloomfield,1,8,FALSE,4,4,
Joan HUSSEY,Bloomfield,1,9,FALSE,1,3,
Matthew KENNEY,Bloomfield,1,9,TRUE,2,3,
Diana MORA,Bloomfield,1,9,TRUE,3,3,
Emily M. SMITH,Bloomfield,1,10,FALSE,1,3,
"Robert James BEESE, Jr.",Bloomfield,1,10,TRUE,2,3,
Jackie SPITERI,Bloomfield,1,10,FALSE,3,3,
Thomas HEANEY,Bloomfield,1,10,TRUE,4,3,
Daniel F. DeLORENZI,Bloomfield,1,12,TRUE,1,3,
Jessica A. AVILES,Bloomfield,1,12,TRUE,2,3,
John DEY,Bloomfield,1,12,FALSE,3,3,
Wartyna DAVIS,Bloomfield,2,1,FALSE,1,4,
Andrew LoMONTE,Bloomfield,2,1,TRUE,2,4,
Barbara A. St. HILAIRE,Bloomfield,2,1,FALSE,3,4,
Dana P. BARRON,Bloomfield,2,1,TRUE,4,4,
Ellen BATES,Bloomfield,2,2,FALSE,1,4,
Alexis KERN,Bloomfield,2,2,TRUE,2,4,
Richard LUONGO,Bloomfield,2,2,FALSE,3,4,
Hope KORNSTEIN,Bloomfield,2,2,TRUE,4,4,
Mario MANZANO,Bloomfield,2,3,FALSE,1,4,
Joshua TROJAK,Bloomfield,2,3,FALSE,2,4,
Cynthia MARTINEZ,Bloomfield,2,3,TRUE,3,4,
Claudio CARCHIA,Bloomfield,2,3,TRUE,4,4,
Christopher SCHWINDT,Bloomfield,2,4,TRUE,1,6,
Monette MATTHEW,Bloomfield,2,4,FALSE,2,6,
William SHANDLEY,Bloomfield,2,4,TRUE,3,6,
Paul BONICA,Bloomfield,2,4,FALSE,4,6,
Michael HUTCHINSON,Bloomfield,2,4,FALSE,5,6,
Marilyn BONICA,Bloomfield,2,4,FALSE,6,6,
Michael VENEZIA,Bloomfield,2,5,TRUE,1,4,
Anthony J. SCUTTARO,Bloomfield,2,5,FALSE,2,4,
Laura VENEZIA,Bloomfield,2,5,TRUE,3,4,
Norman C. NICOLAI,Bloomfield,2,5,FALSE,4,4,
Beverly J. GOSS,Bloomfield,2,6,FALSE,1,4,
Dana N. MOORE,Bloomfield,2,6,FALSE,2,4,
Nicole WILLIAMS,Bloomfield,2,6,TRUE,3,4,
Denise VIECELI,Bloomfield,2,6,TRUE,4,4,
Nicholas JOANOW,Bloomfield,2,7,FALSE,1,4,
Jill FISCHMAN,Bloomfield,2,7,TRUE,2,4,
Joey-lyn ADDESA,Bloomfield,2,7,TRUE,3,4,
Gregory BABULA,Bloomfield,2,7,FALSE,4,4,
Catherine FARNHAM,Bloomfield,2,8,TRUE,1,4,
Michael VOLPE,Bloomfield,2,8,TRUE,2,4,
John S. FAZIO,Bloomfield,2,8,FALSE,3,4,
Peter TOM,Bloomfield,2,8,FALSE,4,4,
Maryann MEHEGAN,Bloomfield,2,10,FALSE,1,4,
Joanne MAIORCA,Bloomfield,2,10,FALSE,2,4,
Jason MARTINEZ,Bloomfield,2,10,TRUE,3,4,
Carmen MARTINEZ,Bloomfield,2,10,TRUE,4,4,
Michael G. GIUSEFFI,Bloomfield,2,11,FALSE,1,4,
Alexander WOLFE,Bloomfield,2,11,TRUE,2,4,
John BETTERS,Bloomfield,2,11,FALSE,3,4,
Roy YOKELSON,Bloomfield,2,11,TRUE,4,4,
Rodney P. CAUTHEN,Bloomfield,2,12,FALSE,1,4,
Alexander MALANAPHY,Bloomfield,2,12,TRUE,2,4,
Diane JEAN-MARY,Bloomfield,2,12,FALSE,3,4,
John R. ZITKA,Bloomfield,2,12,TRUE,4,4,
Kevin LINDAHL,Bloomfield,3,1,FALSE,1,3,
Desantila F. GJATA,Bloomfield,3,1,TRUE,2,3,
Flora CRUZ,Bloomfield,3,1,TRUE,3,3,
Satenik MARGARYAN,Bloomfield,3,2,FALSE,1,4,
Maliek MARKS-SMALL,Bloomfield,3,2,TRUE,2,4,
Tracy TOLER-PHILLIPS,Bloomfield,3,2,FALSE,3,4,
Miriam JACKMAN-PIERRE,Bloomfield,3,2,TRUE,4,4,
Monica Charris TABARES,Bloomfield,3,4,TRUE,1,3,
Carolyn VADALA,Bloomfield,3,4,FALSE,2,3,
Josefina ROSARIO-SIMONE,Bloomfield,3,4,TRUE,3,3,
William WHITT,Bloomfield,3,7,FALSE,1,4,
Cynthia GONZALEZ,Bloomfield,3,7,FALSE,2,4,
Jennifer GAMBLE,Bloomfield,3,7,TRUE,3,4,
Ted GAMBLE,Bloomfield,3,7,TRUE,4,4,
Adam CRUZ,Bloomfield,3,8,TRUE,1,4,
Douglas GRANT,Bloomfield,3,8,FALSE,2,4,
Sarah CRUZ,Bloomfield,3,8,TRUE,3,4,
Awilda TORRES-APONTE,Bloomfield,3,8,FALSE,4,4,
Ramon JIMENEZ,Bloomfield,3,9,FALSE,1,4,
Corey S. ANDERSON,Bloomfield,3,9,TRUE,2,4,
Margarita JIMENEZ,Bloomfield,3,9,FALSE,3,4,
Peter RODRIGUEZ,Bloomfield,3,9,TRUE,4,4,
Maria Luis ESTRELA,Bloomfield,3,10,TRUE,1,4,
Bonita WALKER,Bloomfield,3,10,FALSE,2,4,
Radeka BALGOBIN,Bloomfield,3,10,FALSE,3,4,
Ana RODRIGUEZ,Bloomfield,3,10,TRUE,4,4,
Oscar NUNEZ,Bloomfield,3,11,TRUE,1,4,
Rodolfo S. CAO,Bloomfield,3,11,FALSE,2,4,
Yudi SOBHARAM,Bloomfield,3,11,TRUE,3,4,
Richard W. ROCKWELL,Bloomfield,3,11,FALSE,4,4,
Norm SUTARIA,Bloomfield,3,12,FALSE,1,4,
Linda KELLY-GAMBLE,Bloomfield,3,12,TRUE,2,4,
Papa TALL,Bloomfield,3,12,FALSE,3,4,
Angie BERMEO,Bloomfield,3,12,TRUE,4,4,
Cindi S. GILMORE,Bloomfield,3,13,FALSE,1,3,
Marshall PRAY,Bloomfield,3,13,TRUE,2,3,
Ronald BRICENO,Bloomfield,3,13,TRUE,3,3,
Conrad R. McPHERSON,Irvington,WEST,7,FALSE,1,3,
Maxine Y. MILLER,Irvington,WEST,7,TRUE,2,3,
Vern COX,Irvington,WEST,7,TRUE,3,3,
Judith FRIEDMAN,Livingston,NA,5,TRUE,1,3,
Jasmine NAIDU,Livingston,NA,5,FALSE,2,3,
Steven H. DANIELS,Livingston,NA,5,TRUE,3,3,
Carrie Sue PARIKH,Livingston,NA,8,FALSE,1,4,
Kiran REDDY,Livingston,NA,8,FALSE,2,4,
Charles AUGUST,Livingston,NA,8,TRUE,3,4,
Harriet S. SCHNEIDERMAN,Livingston,NA,8,TRUE,4,4,
Naureen AKHTER,Livingston,NA,10,FALSE,1,3,
Jamie Suzanne McILVAINE,Livingston,NA,10,TRUE,2,3,
James P. McILVAINE,Livingston,NA,10,TRUE,3,3,
Ankit KANAKIA,Livingston,NA,12,FALSE,1,3,
Deepak SETHI,Livingston,NA,12,TRUE,2,3,
Michael BERLINER,Livingston,NA,12,TRUE,3,3,
Nancy HOCHBERG,Livingston,NA,26,TRUE,1,3,
