"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num District total","num District rptg","over votes","under votes"
1,"Choice for President and Delegates to the Democratic National Convention (DD14) (DEM) (Vote For 1)","Joseph R. BIDEN, Jr.","DEM",12801,89.50,0,16905,126,126,"15","248"
2,"Choice for President and Delegates to the Democratic National Convention (DD14) (DEM) (Vote For 1)","Terrisa BUKOVINAC","DEM",127,0.89,0,16905,126,126,"15","248"
3,"Choice for President and Delegates to the Democratic National Convention (DD14) (DEM) (Vote For 1)","Uncommitted","DEM",1374,9.61,0,16905,126,126,"15","248"
4,"Choice for President and Delegates to the Democratic National Convention (DD15) (DEM) (Vote For 1)","Joseph R. BIDEN, Jr.","DEM",24962,90.91,0,31715,290,290,"92","1010"
5,"Choice for President and Delegates to the Democratic National Convention (DD15) (DEM) (Vote For 1)","Terrisa BUKOVINAC","DEM",338,1.23,0,31715,290,290,"92","1010"
6,"Choice for President and Delegates to the Democratic National Convention (DD15) (DEM) (Vote For 1)","Uncommitted","DEM",2159,7.86,0,31715,290,290,"92","1010"
7,"Choice for President and Delegates to the Democratic National Convention (DD16) (DEM) (Vote For 1)","Joseph R. BIDEN, Jr.","DEM",4666,89.66,0,6365,110,110,"27","536"
8,"Choice for President and Delegates to the Democratic National Convention (DD16) (DEM) (Vote For 1)","Terrisa BUKOVINAC","DEM",124,2.38,0,6365,110,110,"27","536"
9,"Choice for President and Delegates to the Democratic National Convention (DD16) (DEM) (Vote For 1)","Uncommitted","DEM",414,7.96,0,6365,110,110,"27","536"
10,"Choice for President and Delegates to the Democratic National Convention (DD18) (DEM) (Vote For 1)","Joseph R. BIDEN, Jr.","DEM",3749,91.84,0,7474,49,49,"3","94"
11,"Choice for President and Delegates to the Democratic National Convention (DD18) (DEM) (Vote For 1)","Terrisa BUKOVINAC","DEM",61,1.49,0,7474,49,49,"3","94"
12,"Choice for President and Delegates to the Democratic National Convention (DD18) (DEM) (Vote For 1)","Uncommitted","DEM",272,6.66,0,7474,49,49,"3","94"
13,"For United States Senator (DEM) (Vote For 1)","Andy KIM","DEM",40047,78.82,0,62462,575,575,"85","2315"
14,"For United States Senator (DEM) (Vote For 1)","Lawrence HAMM","DEM",6927,13.63,0,62462,575,575,"85","2315"
15,"For United States Senator (DEM) (Vote For 1)","Patricia CAMPOS-MEDINA","DEM",3837,7.55,0,62462,575,575,"85","2315"
16,"For Member of the House of Representatives (8th Congressional District) (DEM) (Vote For 1)","Kyle Fort JASEY","DEM",571,20.82,0,3433,57,57,"8","221"
17,"For Member of the House of Representatives (8th Congressional District) (DEM) (Vote For 1)","Ravinder S. BHALLA","DEM",634,23.12,0,3433,57,57,"8","221"
18,"For Member of the House of Representatives (8th Congressional District) (DEM) (Vote For 1)","Rob MENENDEZ","DEM",1537,56.05,0,3433,57,57,"8","221"
19,"For Member of the House of Representatives (10th Congressional District) (DEM) (Vote For 1)","Donald M. PAYNE, Jr.","DEM",17913,100.00,0,25172,288,288,"6","4680"
20,"For Member of the House of Representatives (11th Congressional District) (DEM) (Vote For 1)","Mikie SHERRILL","DEM",24711,94.17,0,33857,230,230,"12","852"
21,"For Member of the House of Representatives (11th Congressional District) (DEM) (Vote For 1)","Mark De LOTTO","DEM",1529,5.83,0,33857,230,230,"12","852"
22,"For Sheriff (DEM) (Vote For 1)","Amir JONES","DEM",40693,83.17,0,62462,575,575,"57","4155"
23,"For Sheriff (DEM) (Vote For 1)","Gary NASH","DEM",8232,16.83,0,62462,575,575,"57","4155"
24,"For Register (DEM) (Vote For 1)","Juan M. RIVERA, Jr.","DEM",45667,100.00,0,62462,575,575,"6","7391"
25,"Bloomfield - For Mayor (Unexpired Term) (DEM) (Vote For 1)","Ted GAMBLE","DEM",2149,42.66,0,6072,35,35,"1","190"
26,"Bloomfield - For Mayor (Unexpired Term) (DEM) (Vote For 1)","Jenny MUNDELL","DEM",2889,57.34,0,6072,35,35,"1","190"
27,"Bloomfield - For Member of the Township Council At-Large (Unexpired Term) (DEM) (Vote For 1)","Monica Charris TABARES","DEM",3335,69.26,0,6072,35,35,"2","412"
